1,1,11,58.66666667,69,73,70,74.5,50,61,53.75,56,61.75,43.5,52.25,49.5,41.5,56,42,40.75,54.25,51.25,58.5,57,59,66.5,59,74.25,61.75,43.5,52.25,49.5,41.5,56,42,40.75,54.25,51.25,58.5
2,2,13,64.85714286,70.71428571,69.125,66.25,55.75,55.125,66.5,62.75,65.125,61.5,55.71428571,73.57142857,72.14285714,68.5,74.75,55.75,57.5,67.5,72.375,61.75,52.5,62.125,65.57142857,68.5,60.75,61.5,55.71428571,73.57142857,72.14285714,68.5,74.75,55.75,57.5,67.5,72.375,61.75
3,3,13,65.85714286,69.85714286,65,63.25,65.375,69.875,75.125,62.875,66.75,69.625,73.125,77.875,63.125,67.75,71.5,66.875,66.625,67.25,63.625,67.625,64.375,65.125,61.25,61.5,67.375,69.625,73.125,77.875,63.125,77,71.5,66.875,66.625,67.25,63.625,67.625
4,4,14,69.08333333,70.91666667,68.91666667,72.5,61.5,66.66666667,70.66666667,62.16666667,66,67.33333333,71.5,68.75,66.58333333,69.08333333,71,63.66666667,63.58333333,70,70.33333333,64.16666667,69.16666667,69.08333333,63.91666667,69.58333333,64,67.33333333,71.5,68.75,66.58333333,69.08333333,71,63.66666667,63.58333333,70,70.33333333,64.16666667
5,5,12,58.875,60.875,63.125,55.375,63.625,51.875,50.875,48.75,47.25,50.5,52.5,52.875,50.625,57.625,62,68.25,57.375,62.875,64.875,67.125,67.57142857,64.25,62,61,63.75,50.5,52.5,52.875,50.625,57.625,62,68.25,57.375,62.875,64.875,67.125
6,6,13,66.375,69.83333333,68.25,63.79166667,62.08333333,63.20833333,66.75,60.70833333,63.75,62.39130435,63.875,67.79166667,69.66666667,69.79166667,69.70833333,61.04347826,62.70833333,68.95833333,68.83333333,63.33333333,65.125,65.70833333,65.91304348,71.45833333,65.45833333,62.39130435,63.875,67.79166667,69.66666667,69.79166667,69.70833333,61.04347826,62.70833333,68.95833333,68.83333333,63.33333333
7,7,13,65.46666667,68,64.86666667,62.66666667,60.1875,62.125,68.125,60.875,64.375,63.53333333,61.625,70.75,65,72.1875,74.25,65.75,65.0625,63.06666667,69.3125,60.33333333,65,64.375,61.6,66.6875,62.375,63.53333333,61.625,70.75,65,72.1875,74.25,65.75,65.0625,63.06666667,69.3125,60.33333333
8,8,13,64.5,68.625,64.875,53.75,60.1875,60.4375,71.25,61.4375,64.625,65.4375,57.625,74.875,65.53333333,65.75,64.5,63.125,71.1875,60.5625,62.625,61.8125,60.3125,63.5,68.125,68.5,70.375,65.4375,57.625,74.875,65.53333333,65.75,64.5,63.125,71.1875,60.5625,62.625,61.8125
9,9,13,65.125,68.625,74.375,61.875,64.25,65.75,72,64.25,61.25,62.375,61.5,66.25,72,61.5,66.25,68.875,66.875,66.125,63.75,62.625,68.125,68,77.125,71,70.125,62.375,61.5,66.25,72,61.5,66.25,68.875,66.875,66.125,63.75,62.625
10,10,14,69.75,76.75,64.25,60.5,66.25,72,75.75,68,69.5,66.5,62,73.75,74.25,72,70.75,65,66.5,65.5,73.75,65.75,68,68.5,63.75,74,65.5,66.5,62,73.75,74.25,72,70.75,65,66.5,65.5,73.75,65.75
11,11,12,53.33333333,53.33333333,58.25,60.75,63.5,46.75,56.25,54.5,55,57.5,59.66666667,62,68.66666667,57.25,70.75,55,49.25,63.75,61,62.5,55.5,54.25,63.25,67.25,60,57.5,59.66666667,62,68.66666667,57.25,70.75,55,49.25,63.75,61,62.5